id,name,region,ptsBeca,ptsAcr,ptsRank,isPrivate,lat,lng,url,urlEscudo,rankUniver,anosAcr
1,Universidad de Chile,0,5,5,5,0,-33.4445204,-70.6509277,http://www.uchile.cl,http://www.uchile.cl/image/f7910-0-l.jpeg?3535,5,7
2,Pontificia Universidad Cat�lica de Chile,0,3,5,5,1,-33.4411279,-70.6407933,http://www.uc.cl,https://i.pinimg.com/originals/fc/e9/1c/fce91c5d93a5625aeadb65ee05258df5.png,1,7
3,Universidad de Concepci�n,8,2,5,5,1,-36.8294765,-73.0341825,http://www.udec.cl,http://www.udec.cl/normasgraficas/sites/default/files/escudoof.gif,3,7
4,Pontificia Universidad Cat�lica de Valpara�so,5,3,5,5,1,-33.044407,-71.605872,http://www.pucv.cl,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/PUCV_Escudo2016.svg/200px-PUCV_Escudo2016.svg.png,6,6
5,Universidad T�cnica Federico Santa Mar�a,5,2,5,3,1,-33.0352386,-71.5967794,http://www.usm.cl,http://www.exalumnos.usm.cl/wp-content/uploads/2015/06/ISOTIPO-Color.jpg,17,6
6,Universidad de Santiago de Chile,0,2,5,4,0,-33.4488962,-70.6831674,https://www.usach.cl/,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Escudo_USACH.svg/423px-Escudo_USACH.svg.png,12,6
7,Universidad Austral de Chile,14,2,5,5,0,-39.8061639,-73.2516591,http://www.uach.cl,https://www.derecho.uach.cl/static/pages/images/escudo.png,7,6
8,Universidad Cat�lica del Norte,2,3,5,4,1,-23.6811153,-70.4105355,https://www.ucn.cl/,http://www.ucn.cl/wp-content/uploads/2018/05/Escudo-UCN-Full-Color.png,11,6
9,Universidad de Valpara�so,5,4,4,4,0,-33.0406346,-71.6254473,https://www.uv.cl/,http://preuniversitariopreutech.cl/portal/wp-content/uploads/universidad-de-valparaiso-229x300.png,16,5
10,Universidad Metropolitana de Ciencias de la Educaci�n,0,1,3,3,0,-33.4618262,-70.5967116,http://www.umce.cl/,https://upload.wikimedia.org/wikipedia/commons/3/3f/Logo_umce_2.png,18,3
11,Universidad Tecnol�gica Metropolitana,0,2,3,1,0,-33.4661747,-70.5970569,https://www.utem.cl/,https://www.uestatales.cl/cue/sites/default/files/universidades/utem.jpg?1254970327,36,4
12,Universidad de Tarapac�,1,4,4,4,0,-20.2336393,-70.1411723,https://www.uta.cl/,http://ruefip.cl/wp-content/uploads/2016/06/logos-UNIVERSIDADES-15.png,10,5
13,Universidad Arturo Prat,1,4,3,1,0,-20.2441837,-70.1409449,http://www.unap.cl,http://www.eventosregionxv.cl/wp-content/uploads/2018/12/Universidad-Arturo-Prat.png,38,4
14,Universidad de Antofagasta,2,2,4,2,0,-23.6691073,-70.4053939,http://www.uantof.cl/,http://www.ifmsa.cl/chile/images/stories/nosotros/universidades/uda.jpg,28,5
15,Universidad de La Serena,4,2,3,2,0,-29.9088637,-71.2464265,http://www.userena.cl/,https://upload.wikimedia.org/wikipedia/commons/c/c1/Universidad_de_La_Serena_escudo.png,26,4
16,Universidad de Playa Ancha,5,5,4,3,0,-33.0246667,-71.6405519,https://www.upla.cl,http://preuniversitariopreutech.cl/portal/wp-content/uploads/Universidad-de-Playa-Ancha.png,20,5
17,Universidad de Atacama,3,2,3,1,0,-27.3568615,-70.3523672,http://www.uda.cl/,https://www.uestatales.cl/cue/sites/default/files/universidades/Logo%20Institucional%20UDA%20Normado_0.png?1325432706,35,3
18,Universidad del B�o B�o,8,3,4,5,0,-36.8225012,-73.0132711,https://www.ubiobio.cl,http://www.ubiobio.cl/mcc/images/logosimbologia.png,4,5
19,Universidad de La Frontera,9,3,5,4,0,-38.747816,-72.616833,https://www.ufro.cl/,https://www.redbionova.com/wp-content/uploads/2015/12/ufro.jpg,9,6
20,Universidad de los Lagos,10,2,3,1,0,-40.5850499,-73.0913329,http://www.ulagos.cl/,https://www.uestatales.cl/cue/sites/default/files/universidades/lagos.jpg?1254970382,42,4
21,Universidad de Magallanes,12,4,3,1,0,-53.1364249,-70.8787218,http://www.umag.cl/,https://www.ecured.cu/images/8/86/Umag.gif,37,4
22,Universidad de Talca,7,2,5,4,1,-35.4042675,-71.6353226,https://www.utalca.cl/,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Utalca.svg/250px-Utalca.svg.png,5,5
23,Universidad Cat�lica del Maule,7,2,5,4,1,-35.4354218,-71.6199998,http://portal.ucm.cl/,http://portal.ucm.cl/content/uploads/2019/01/escudo1.png,14,7
24,Universidad Cat�lica de las Sant�sima Concepci�n,8,4,3,1,1,-36.798554,-73.055917,https://www.ucsc.cl/,https://upload.wikimedia.org/wikipedia/commons/1/1c/Ucsc_logo.png,33,4
25,Universidad Cat�lica de Temuco,9,4,3,2,1,-38.7028912,-72.5478415,https://uct.cl/,https://vignette.wikia.nocookie.net/wikiderechouct/images/b/b5/Logo_UCT.png/revision/latest?cb=20120622235022&path-prefix=es,27,4
26,Universidad de O'Higgins,6,3,0,3,0,-34.164387,-70.7416397,https://www.uoh.cl/,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Isologo_de_la_Universidad_de_O%27Higgins.svg/1280px-Isologo_de_la_Universidad_de_O%27Higgins.svg.png,23,0
